key,tipo,unidad,torre,email,password,ruta_inicial
residencial-243,arrendatario,243,Bloque B,qa.casa243@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-244,propietario_no_residente,244,Bloque B,qa.casa244@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-245,residente,245,Bloque B,qa.casa245@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-246,propietario_residente,246,Bloque B,qa.casa246@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-247,arrendatario,247,Bloque B,qa.casa247@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-248,propietario_no_residente,248,Bloque B,qa.casa248@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-249,residente,249,Bloque B,qa.casa249@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-250,propietario_residente,250,Bloque B,qa.casa250@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-251,arrendatario,251,Bloque B,qa.casa251@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-252,propietario_no_residente,252,Bloque B,qa.casa252@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-253,residente,253,Bloque B,qa.casa253@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-254,propietario_residente,254,Bloque B,qa.casa254@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-255,arrendatario,255,Bloque B,qa.casa255@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-256,propietario_no_residente,256,Bloque B,qa.casa256@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-257,residente,257,Bloque B,qa.casa257@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-258,propietario_residente,258,Bloque B,qa.casa258@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-259,arrendatario,259,Bloque B,qa.casa259@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-260,propietario_no_residente,260,Bloque B,qa.casa260@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-261,residente,261,Bloque B,qa.casa261@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-262,propietario_residente,262,Bloque B,qa.casa262@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
